App 이름,카테고리
myPPC,Tools
Trendyol - Online Alışveriş,Shopping
Temu: Shop Like a Billionaire,Shopping
SHEIN-Shopping Online,Shopping
TikTok,Social
Pizza Ready!,Games > Simulation
WhatsApp Messenger,Communication
Brawl Stars,Games > Action
"Revolut: Spend, Save, Trade",Finance
Reserved,Shopping
SkyShowtime: Movies & Series,Entertainment
Piano Pink Tiles,Games > Music
CapCut - Video Editor,Video Players & Editors
SAMEDAY App,Productivity
Messenger,Communication
Instagram,Social
Kaufland - Shopping & Offers,Shopping
Salt Bank,Finance
Lidl Plus,Shopping
BT Pay,Finance
Google Wallet,Finance
QR Scanner,Tools
TunnelBear VPN,Tools
Snapchat,Communication
Carrefour România,Shopping
Roblox,Games > Adventure
OLX - Cumpără și vinde,Shopping
Vinted - Buy and sell clothes,Shopping
Bolt: Request a Ride,Maps & Navigation
Mein dm,Shopping
"Threads, an Instagram app",Social
MOL Move,Auto & Vehicles
Pixel by Color: Pixel Art,Games > Puzzle
Facebook,Social
Health Tracker,Health & Fitness
Craft Box Game Tree,Games > Simulation
Waze Navigation & Live Traffic,Maps & Navigation
Zen Word® - Relax Puzzle Game,Games > Word
Sinsay - moda i zakupy online,Shopping
Race Master 3D - Car Racing,Games > Racing
weather24: Forecast & Radar,Weather
Subway Surfers,Games > Arcade
"Wood Nuts & Bolts, Screw",Games > Puzzle
Vehicle Masters,Games > Simulation
MOHITO - zakupy online,Shopping
Boba DIY Bubble Tea,Games > Simulation
Samsung Smart Switch Mobile,Tools
George Romania,Finance
TickTock-TikTok Live Wallpaper,Tools
Block Blast!,Games > Puzzle
