App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Plant Parent: Plant Care Guide,Lifestyle
Yuka - Food & Cosmetic Scanner,Health & Fitness
Profital - Brochures & Deals,Shopping
SHEIN-Shopping Online,Shopping
Brawl Stars,Games > Action
ChatGPT,Productivity
Microsoft Authenticator,Business
PDF Reader - PDF Viewer,Productivity
Google Wallet,Finance
Microsoft Edge: AI browser,Communication
TikTok,Social
bike to work,Health & Fitness
Lidl Plus,Shopping
"Threads, an Instagram app",Social
Samsung Smart Switch Mobile,Tools
Too Good To Go: End Food Waste,Food & Drink
Coop Supercard,Shopping
WhatsApp Messenger,Communication
SBB Mobile,Maps & Navigation
Telegram,Communication
Microsoft Teams,Business
CapCut - Video Editor,Video Players & Editors
Duolingo: Language Lessons,Education
QR & Barcode Scanner,Tools
Royal Match,Games > Puzzle
Chatbot AI & Smart Assistant,Productivity
PDF Reader – PDF Viewer,Productivity
Instagram,Social
Last War:Survival Game,Games > Strategy
QR Scanner,Tools
Instagram Lite,Social
Remini - AI Photo Enhancer,Photography
debiX+,Finance
DeepL Translate,Books & Reference
Google Translate,Tools
Match Factory!,Games > Puzzle
Maxizoo / Fressnapf,Shopping
Wörter Aus-Lustiges Worträtsel,Games > Word
Swiss Post,Tools
"Wood Nuts & Bolts, Screw",Games > Puzzle
Disney+,Entertainment
Booking.com: Hotels & Travel,Travel & Local
Pizza Ready!,Games > Simulation
Play SRF: Streaming TV & Radio,Video Players & Editors
Snapchat,Communication
Zalando – online fashion store,Shopping
Migros – shop & save,Shopping
Manor,Shopping
QR Scanner - Barcode Scanner,Productivity
