App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
First Run,Games > Arcade
Armland Drive,Games > Racing
Telegram,Communication
Health Tracker,Health & Fitness
Supermarket Manager Simulator,Games > Simulation
Wildberries,Shopping
TikTok,Social
Duolingo: Language Lessons,Education
Pizza Ready!,Games > Simulation
Yandex Go — taxi and delivery,Maps & Navigation
WhatsApp Messenger,Communication
Subway Surfers,Games > Arcade
Grand Mobile - гонки и суета,Games > Simulation
Instagram,Social
Craft Box Game Tree,Games > Simulation
Snapchat,Communication
Retail Store Simulator,Games > Simulation
acba digital,Finance
Relax Mini Games,Games > Casual
Armflix,Entertainment
TikTok Lite - Save Data,Social
Fastex: Buy Bitcoin & Crypto,Finance
Car Race 3D: Car Racing,Games > Racing
Brawl Stars,Games > Action
Roblox,Games > Adventure
Delete Puzzle: Brain Games,Games > Puzzle
Varord.am,Education
Rakuten Viber Messenger,Communication
Build A Queen,Games > Casual
Tower War - Tactical Conquest,Games > Arcade
Idram & IDBank,Finance
BLACK RUSSIA,Games > Role Playing
WePlay: Играй и Общайся!,Entertainment
The Ink Shop - Tattoo Art ASMR,Games > Simulation
Facebook,Social
CapCut - Video Editor,Video Players & Editors
CashMe GC,Finance
gg,Travel & Local
Messenger,Communication
Offline Games - No WiFi - Fun,Games > Casual
Yandex Navigator,Travel & Local
Blood Pressure App,Health & Fitness
Yerevan City,Shopping
Telcell Wallet,Finance
Gangs Wars: Pixel Shooter RP,Games > Action
2 3 4 Player Mini Games,Games > Simulation
Pinterest,Lifestyle
"Wood Nuts & Bolts, Screw",Games > Puzzle
456 Run Challenge: Clash 3D,Games > Simulation
