App 이름,카테고리
ten ten,Social
Taktak,Communication
Health Tracker,Health & Fitness
Yep,Tools
Pizza Ready!,Games > Simulation
Brawl Stars,Games > Action
TikTok,Social
Duolingo: Language Lessons,Education
Home Hammer: Fix ASMR,Games > Simulation
Hypermarket 3D,Games > Simulation
Roblox,Games > Adventure
WhatsApp Messenger,Communication
Rakuten Viber Messenger,Communication
Instagram,Social
Vape 'N Pod Trick Simulator,Games > Simulation
"Moto Rider, Bike Racing Game",Games > Racing
Vehicle Masters,Games > Simulation
Subway Surfers,Games > Arcade
"Threads, an Instagram app",Social
Blood Pressure App,Health & Fitness
Snapchat,Communication
Race Master 3D - Car Racing,Games > Racing
Messenger,Communication
My Perfect Hotel,Games > Arcade
Car Race 3D: Car Racing,Games > Racing
DOP: Draw One Part,Games > Puzzle
Alibaba.com - B2B marketplace,Shopping
CapCut - Video Editor,Video Players & Editors
Real Car Driving: Race City 3D,Games > Racing
Facebook,Social
Manchester United Official App,Sports
Telegram,Communication
Bottle Jump 3D,Games > Arcade
Pinterest,Lifestyle
TikTok Lite - Save Data,Social
PDF Reader - PDF Viewer,Productivity
Blood Pressure,Health & Fitness
Telekom MK,Communication
Universal TV Remote Control,Tools
Mojot A1,Communication
Мој ДДВ,Finance
"Wood Nuts & Bolts, Screw",Games > Puzzle
Bus Simulator 3D: Bus Games,Games > Strategy
Epic Race 3D – Parkour Game,Games > Racing
Instabridge: WiFi Password Map,Productivity
City Bus Simulator City Game,Games > Simulation
Music Player & MP3 - DDMusic,Music & Audio
Block Blast!,Games > Puzzle
DIY Paper Doll,Games > Simulation
Bubble Shooter Family,Games > Puzzle
