App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Everyday Rewards,Shopping
WhatsApp Messenger,Communication
DoorDash - Food Delivery,Food & Drink
TikTok,Social
Block Blast!,Games > Puzzle
Hexa Sort,Games > Puzzle
Roblox,Games > Adventure
SHEIN-Shopping Online,Shopping
Messenger,Communication
"Threads, an Instagram app",Social
"Trade Me: Property, Shop, Sell",Shopping
Google Wallet,Finance
Disney+,Entertainment
Pizza Ready!,Games > Simulation
Instagram,Social
CapCut - Video Editor,Video Players & Editors
Hallensteins,Shopping
Piano Pink Tiles,Games > Music
Amazon Prime Video,Entertainment
"Ticketmaster－Buy, Sell Tickets",Events
Facebook,Social
Snake Clash!,Games > Arcade
Linky: Chat with Characters AI,Social
Last War:Survival Game,Games > Strategy
TVNZ+,Entertainment
Cryptogram Letters and Numbers,Games > Word
Snapchat,Communication
Crunchyroll,Entertainment
QR & Barcode Scanner,Tools
Royal Match,Games > Puzzle
Afterpay: Shop Smarter,Shopping
Pocket FM: Audio Series,Music & Audio
Netflix,Entertainment
Blood Pressure,Health & Fitness
PDF Reader - PDF Viewer,Productivity
Subway Surfers,Games > Arcade
Z App,Lifestyle
Woolworths NZ,Shopping
MILKRUN,Shopping
McDonald's,Food & Drink
Microsoft Edge: AI browser,Communication
Health Kit,Health & Fitness
Tower War - Tactical Conquest,Games > Arcade
Craft Box Game Tree,Games > Simulation
Paper.io 2,Games > Arcade
Beat Maker Pro - DJ Drum Pad,Music & Audio
Match Factory!,Games > Puzzle
Spotify: Music and Podcasts,Music & Audio
Uber - Request a ride,Maps & Navigation
