App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Squad Busters,Games > Action
Aimo - Parking with Aimo Park,Auto & Vehicles
Microsoft Edge: AI browser,Communication
SOS Alarm,Communication
Bring,Tools
PostNord: Track & Send Parcels,Lifestyle
TV4 Play,Entertainment
Ultra - Umeås lokaltrafik,Travel & Local
WhatsApp Messenger,Communication
ChatGPT,Productivity
Too Good To Go: End Food Waste,Food & Drink
Microsoft Authenticator,Business
SHEIN-Shopping Online,Shopping
Vinted - Buy and sell clothes,Shopping
Microsoft Teams,Business
1177,Medical
"Threads, an Instagram app",Social
Klarna | Shop now. Pay later.,Shopping
Hexa Sort,Games > Puzzle
TikTok,Social
Google Wallet,Finance
Lidl Plus,Shopping
Telegram,Communication
Samsung Smart Switch Mobile,Tools
Parkster - Smooth parking,Travel & Local
Brawl Stars,Games > Action
Instagram,Social
Kivra Sweden,Communication
BankID security app,Finance
Block Blast!,Games > Puzzle
Swish payments,Finance
EasyPark - Parking made easy,Travel & Local
Dalakraft,Tools
Snapchat,Communication
Apoteket,Medical
Ny Teknik Nyheter,News & Magazines
Duolingo: Language Lessons,Education
CapCut - Video Editor,Video Players & Editors
Walley,Finance
Adobe Express: AI Video Design,Art & Design
Amazon Prime Video,Entertainment
Screw Puzzle: Wood Nut & Bolt,Games > Puzzle
SL-Journey planner and tickets,Travel & Local
SVT Play,Entertainment
QR & Barcode Scanner,Tools
Tradera – buy & sell,Shopping
Fortnox,Finance
Royal Match,Games > Puzzle
ICA – recept och erbjudanden,Food & Drink
