App 이름,카테고리
Trendyolmilla,Shopping
Brawl Stars,Games > Action
WhatsApp Messenger,Communication
CapCut - Video Editor,Video Players & Editors
Instagram,Social
TikTok,Social
Pizza Ready!,Games > Simulation
ويبلاي - ألعاب ودردشة,Entertainment
e-Devlet Kapısı,Business
MHRS,Medical
LMR - Copyleft Music,Music & Audio
Pazarama,Shopping
Subway Surfers,Games > Arcade
Trendyol - Online Alışveriş,Shopping
Snapchat,Communication
Roblox,Games > Adventure
Telegram,Communication
Ziraat Mobile,Finance
sahibinden #AlSatKiralaKesfet,Shopping
Garanti BBVA Mobile,Finance
Craft Box Game Tree,Games > Simulation
Algida ile Kazan,Food & Drink
Turkcell,Shopping
Bus Simulator : Ultimate,Games > Simulation
Vodafone Yanımda,Tools
Getcontact,Communication
Türk Telekom,Tools
Yapı Kredi Mobile - SuperApp,Finance
Akbank,Finance
e-Nabız,Health & Fitness
QR & Barcode Scanner,Tools
Teacher Simulator: School Days,Games > Casual
"Karaca: Ev, Yaşam ve Mutfak",Shopping
Migros Sanal Market,Shopping
Lessy,Shopping
Papara: Finansal Hizmetler,Finance
Facebook,Social
Trendyol Go,Food & Drink
Pinterest,Lifestyle
İşCep - Mobile Banking,Finance
Local Election Game 2024,Games > Simulation
MAC+: Gym & Home Workouts,Health & Fitness
LC Waikiki,Shopping
Block Blast!,Games > Puzzle
Yemeksepeti - Food & Grocery,Food & Drink
Hepsiburada: Online Shopping,Shopping
Remini - AI Photo Enhancer,Photography
My Talking Tom 2,Games > Casual
Instagram Lite,Social
Race Master 3D - Car Racing,Games > Racing
