App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
#walk15 – Useful Steps App,Health & Fitness
Hexa Sort,Games > Puzzle
ABOUT YOU Outlet,Shopping
carOne,Auto & Vehicles
Google Wallet,Finance
TikTok,Social
Brawl Stars,Games > Action
WhatsApp Messenger,Communication
ChatGPT,Productivity
Smart-ID,Business
Pizza Ready!,Games > Simulation
IKI,Shopping
Tower War - Tactical Conquest,Games > Arcade
SHEIN-Shopping Online,Shopping
Block Blast!,Games > Puzzle
UpRock AI Earnings for Income,Tools
Lidl Plus,Shopping
"Revolut: Spend, Save, Trade",Finance
Telegram,Communication
MAXIMA,Shopping
Samsung Smart Switch Mobile,Tools
Microsoft Teams,Business
Messenger,Communication
PDF Reader - PDF Viewer,Productivity
"Threads, an Instagram app",Social
STRIKE: BITCOIN,Finance
Google Fit: Activity Tracking,Health & Fitness
Craft Box Game Tree,Games > Simulation
Shotgun Duel,Games > Strategy
Waze Navigation & Live Traffic,Maps & Navigation
Bolt: Request a Ride,Maps & Navigation
Piano Pink Tiles,Games > Music
Health Kit,Health & Fitness
Real Car Driving: Race City 3D,Games > Racing
Duolingo: Language Lessons,Education
Swedbank Lietuva,Finance
QR & Barcode Scanner,Tools
"Wood Nuts & Bolts, Screw",Games > Puzzle
Wood Nuts & Bolts Puzzle,Games > Puzzle
Norfa,Shopping
QR & Barcode Reader,Productivity
Vehicle Masters,Games > Simulation
Google Translate,Tools
Rakuten Viber Messenger,Communication
Multi Shooter in Sandbox Mods,Games > Action
Senukai.lt,Shopping
Microsoft Authenticator,Business
Instagram,Social
Streetball Allstar,Games > Sports
