App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Duolingo: Language Lessons,Education
Lost Crown,Games > Role Playing
Health Tracker,Health & Fitness
TikTok,Social
TikTok Lite - Save Data,Social
Joom. Shopping for every day,Shopping
Unde md,Shopping
Telegram,Communication
Brawl Stars,Games > Action
Pizza Ready!,Games > Simulation
ChatGPT,Productivity
WhatsApp Messenger,Communication
BLACK RUSSIA,Games > Role Playing
MAIBank,Finance
My Orange Moldova,Tools
Rakuten Viber Messenger,Communication
MICB Mobile Banking,Finance
Little Hero: Survival.io,Games > Action
Instagram,Social
999.md - classifieds board,Shopping
Grand Mobile - гонки и суета,Games > Simulation
CapCut - Video Editor,Video Players & Editors
Messenger,Communication
Skizz - Lockscreen Drawing,Personalization
Talking Tom Hero Dash,Games > Action
Roblox,Games > Adventure
UDS App,Shopping
Craft Box Game Tree,Games > Simulation
SHEIN-Shopping Online,Shopping
Facebook,Social
Pinterest,Lifestyle
Alibaba.com - B2B marketplace,Shopping
Make It Perfect 2,Games > Puzzle
Evony: The King's Return,Games > Strategy
"Threads, an Instagram app",Social
Brainly: AI Homework Helper,Education
Satisdom,Games > Puzzle
Subway Surfers,Games > Arcade
Car Race 3D: Car Racing,Games > Racing
Blood Pressure App,Health & Fitness
Squad Busters,Games > Action
Stiri.md - Știri din Moldova,News & Magazines
"Wood Nuts & Bolts, Screw",Games > Puzzle
2 3 4 Player Mini Games,Games > Simulation
Multi Shooter in Sandbox Mods,Games > Action
Hamster Jump: Cake Tower!,Games > Casual
Relax Mini Games,Games > Casual
AirBrush - AI Photo Editor,Photography
Premise - Earn Money for Tasks,Lifestyle
