App 이름,카테고리
ten ten,Social
Taktak,Communication
Health Tracker,Health & Fitness
Brawl Stars,Games > Action
TikTok,Social
The Legend of Jaffa Brownie,Games > Adventure
WhatsApp Messenger,Communication
Yep,Tools
"Threads, an Instagram app",Social
Pizza Ready!,Games > Simulation
Zen Word® - Relax Puzzle Game,Games > Word
Rakuten Viber Messenger,Communication
Mein dm,Shopping
Instagram,Social
Moj BH Telecom,Communication
Messenger,Communication
Duolingo: Language Lessons,Education
PDF Reader - PDF Viewer,Productivity
Melodie Box Simulator,Games > Simulation
ChatGPT,Productivity
Roblox,Games > Adventure
Subway Surfers,Games > Arcade
Snapchat,Communication
QR & Barcode Scanner,Tools
NLB mKlik novi,Finance
Vape 'N Pod Trick Simulator,Games > Simulation
Real Car Driving: Race City 3D,Games > Racing
Vehicle Masters,Games > Simulation
Samsung Smart Switch Mobile,Tools
Radarbot Speed Camera Detector,Maps & Navigation
Pinterest,Lifestyle
Music Player & MP3 - DDMusic,Music & Audio
OLX.ba,Shopping
Piano Pink Tiles,Games > Music
Pixel by Color: Pixel Art,Games > Puzzle
Craft Box Game Tree,Games > Simulation
Box Simulator for Brawl Stars,Games > Simulation
Facebook,Social
Alibaba.com - B2B marketplace,Shopping
Help Me: Tricky Story,Games > Casual
TikTok Lite - Save Data,Social
Fashion&Friends,Shopping
CapCut - Video Editor,Video Players & Editors
Telegram,Communication
Hypermarket 3D,Games > Simulation
Snake Clash!,Games > Arcade
Car Race 3D: Car Racing,Games > Racing
Brawl Box Stars Simulator,Games > Simulation
RMB Raiffeisen Mobile Banking,Finance
"Moto Rider, Bike Racing Game",Games > Racing
